id,NGR,Longitude/Latitude,Site Height,In-Use Ae Ht,In-Use ERP Total,Dir Max ERP,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,Lat,Long
745392,NO76418994,002W23 24 57N00 00,325,230,"2.000,000",43,1.1,1.7,2.4,1.9,2.7,3.3,2.3,2.4,2.1,1.6,1.2,0.6,0.5,0.3,0.4,1.4,2.6,5.4,8.3,11.5,15.6,20.5,28.6,28.5,22.6,17.1,13.3,9.6,6.6,3.2,1.1,0.4,0,0,0.4,1,56.999987,-2.389944
745393,NJ76043299,002W24 01 57N23 12,245,138,"8.510,009",140,0.1,0.5,1,1.6,2.1,2.5,2.9,2.9,2.7,2.2,1.6,1,0.5,0.2,0.1,0.1,0.6,1.6,2.8,4.4,6.3,8,8.9,9.2,9.2,9.2,9.1,9.1,8.2,6.6,4.8,3.1,1.7,0.8,0.2,0,57.386674,-2.400197
745394,NJ98315700,002W01 48 57N36 11,225,35,"1.000,000",55,0.1,0,0,0,0,0,0,0,0,0,0.1,0.3,0.6,1.2,1.8,2.7,3.8,4.9,6.2,7.2,7.9,8.3,8.5,8.7,8.7,8.4,8,7.4,6.5,5.5,4.3,3.2,2.1,1.3,0.8,0.3,57.602976,-2.029937
745395,NJ94270253,002W05 46 57N06 49,87,41,"1.199,999",355,0.2,0.5,1,1.6,2.3,3.3,4.8,6.6,8.6,10.9,12.8,15.7,19,24.4,25.9,25.9,25.9,25.9,25.9,25.7,23.8,22.2,18.6,15.8,14.1,11.8,9.4,7.4,5.4,3.8,2.4,1.3,0.6,0.2,0,0,57.113656,-2.096244
745396,NS29181617,004W41 59 55N24 35,273,34,"4.000,000",70,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,55.409586,-4.699754
745397,NS55753413,004W17 23 55N34 46,286,152,"0.760,001",280,2.5,3.2,5,6.5,9,11,15,20,20,20,20,20,20,20,18,13,10,7,5.5,4,2.5,2,1.2,0.8,0.5,0.2,0,0,0,0,0,0.2,0.2,0.8,1,1.5,55.579376,-4.289814
745398,NX21179812,004W48 53 55N14 41,195,24,"2.000,000",,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,55.244736,-4.814596
745399,NS21494835,004W50 31 55N41 44,170,34,"1.510,000",120,18,14,11,8.5,6,4.5,3,2,1.2,0.8,0.2,0,0,0,0.4,1,1.5,2.5,3.5,5,7,10,12,15,18,20,20,20,20,20,20,20,20,20,20,20,55.695641,-4.84184
745400,SU64314792,001W04 49 51N13 37,176,27,"0.250,000",,0,0.02,0.22,0.62,1.22,2.02,3,4,5.5,6,7,7,7,7,7,7,7,6,5.5,4,3.01,2.02,1.22,0.62,0.22,0.02,0.01,0.02,0.22,0.5,0.8,0.8,0.8,0.51,0.22,0.02,51.226848,-1.080409
745401,SO03450129,003W23 55 51N42 07,282,43,"0.200,000",210,20,20,20,20,20,20,20,17,12,9,7,5,3.5,2.5,1.8,1.2,0.8,0.2,0,0,0,0,0,0,0,0.2,0.8,1.2,2.5,3.5,5,7,9,12,17,20,51.702007,-3.398531
