id,Date,Ensemble,Licence,Ensemble Area,EID,Transmitter Area,Site,Freq.,Block,TII Main Id (Hex),TII Sub Id (Hex),Serv Label1 ,SId 1 (Hex),LSN 1 (Hex),Serv Label2 ,SId 2 (Hex),LSN 2 (Hex),Serv Label3 ,SId 3 (Hex),LSN 3 (Hex),Serv Label4 ,SId 4 (Hex),LSN 4 (Hex),Serv Label5 ,SId 5 (Hex),LSN 5 (Hex),Serv Label6 ,SId 6 (Hex),LSN 6 (Hex),Serv Label7 ,SId 7 (Hex),LSN 7 (Hex),Serv Label8 ,SId 8 (Hex),LSN 8 (Hex),Serv Label9 ,SId 9 (Hex),LSN 9 (Hex),Serv Label10 ,SId 10 (Hex),LSN 10 (Hex),Serv Label11 ,SId 11 (Hex),LSN 11 (Hex),Serv Label12 ,SId 12 (Hex),LSN 12 (Hex),Serv Label13 ,SId 13 (Hex),LSN 13 (Hex),Serv Label14 ,SId 14 (Hex),LSN 14 (Hex),Serv Label15 ,SId 15 (Hex),LSN 15 (Hex),Serv Label16 ,SId 16 (Hex),LSN 16 (Hex),Serv Label17 ,SId 17 (Hex),LSN 17 (Hex),Serv Label18 ,SId 18 (Hex),LSN 18 (Hex),Serv Label19 ,SId 19 (Hex),LSN 19 (Hex),Serv Label20 ,SId 20 (Hex),LSN 20 (Hex),Serv Label21 ,SId 21 (Hex),LSN 21 (Hex),Serv Label22 ,SId 22 (Hex),LSN 22 (Hex),Serv Label23 ,SId 23 (Hex),LSN 23 (Hex),Serv Label24 ,SId 24 (Hex),LSN 24 (Hex),Serv Label25 ,SId 25 (Hex),LSN 25 (Hex),Serv Label26 ,SId 26 (Hex),LSN 26 (Hex),Serv Label27 ,SId 27 (Hex),LSN 27 (Hex),Serv Label28 ,SId 28 (Hex),LSN 28 (Hex),Serv Label29 ,SId 29 (Hex),LSN 29 (Hex),Serv Label30 ,SId 30 (Hex),LSN 30 (Hex),Serv Label31 ,SId 31 (Hex),LSN 31 (Hex),Serv Label32 ,SId 32 (Hex),LSN 32 (Hex),Data Serv Label1,Data SId 1 (Hex),Data Serv Label2,Data SId 2 (Hex),Data Serv Label3,Data SId 3 (Hex),Data Serv Label4,Data SId 4 (Hex),Data Serv Label5,Data SId 5 (Hex),Data Serv Label6,Data SId 6 (Hex),Data Serv Label7,Data SId 7 (Hex),Data Serv Label8,Data SId 8 (Hex),Data Serv Label9,Data SId 9 (Hex),Data Serv Label10,Data SId 10 (Hex),Data Serv Label11,Data SId 11 (Hex),Data Serv Label12,Data SId 12 (Hex),Data Serv Label13,Data SId 13 (Hex),Data Serv Label14,Data SId 14 (Hex),Data Serv Label15,Data SId 15 (Hex)
745392,23/11/2001,Aberdeen,DL000024,Aberdeen,C19A,Aberdeen,Durris,220.352,11C,3E,7,Northsound 1,C8B1,,Northsound 2,C1C9,1EA,Waves Radio,C6B6,,BBC Scotland,C635,,BBC RNanGaidheal,C336,,Virgin Radio,C3D8,,Times Radio,C0D8,,talkSPORT 2,C1D8,,Original 106,C6E7,,talkSPORT Scot,C6CE,1BD 1BE 1BF 64F,Pure Radio,C4EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745393,22/11/2001,Aberdeen,DL000024,Aberdeen,C19A,Aberdeen,Meldrum,220.352,11C,3E,6,Northsound 1,C8B1,,Northsound 2,C1C9,1EA,Waves Radio,C6B6,,BBC Scotland,C635,,BBC RNanGaidheal,C336,,Virgin Radio,C3D8,,Times Radio,C0D8,,talkSPORT 2,C1D8,,Original 106,C6E7,,talkSPORT Scot,C6CE,1BD 1BE 1BF 64F,Pure Radio,C4EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745394,21/11/2001,Aberdeen,DL000024,Aberdeen,C19A,Aberdeen,Mormond Hill DAB,220.352,11C,3E,1,Northsound 1,C8B1,,Northsound 2,C1C9,1EA,Waves Radio,C6B6,,BBC Scotland,C635,,BBC RNanGaidheal,C336,,Virgin Radio,C3D8,,Times Radio,C0D8,,talkSPORT 2,C1D8,,Original 106,C6E7,,talkSPORT Scot,C6CE,1BD 1BE 1BF 64F,Pure Radio,C4EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745395,24/05/2016,Aberdeen,DL000024,Aberdeen,C19A,Redmoss,Redmoss,220.352,11C,3E,13,Northsound 1,C8B1,,Northsound 2,C1C9,1EA,Waves Radio,C6B6,,BBC Scotland,C635,,BBC RNanGaidheal,C336,,Virgin Radio,C3D8,,Times Radio,C0D8,,talkSPORT 2,C1D8,,Original 106,C6E7,,talkSPORT Scot,C6CE,1BD 1BE 1BF 64F,Pure Radio,C4EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745396,04/04/2002,Ayr,DL000027,Ayr,C19B,Ayr,Brown Carrick Hill,218.64,11B,40,0E,West FM,CCB1,,West Sound,CFC9,1EA,BBC RNanGaidheal,C336,13,UWS Radio,C1CA,,BBC Scotland,C435,181,Virgin 80's Plus,C2EB,1F1,HITS RADIO UK,C3E2,1E2 1E4,Absolute Country,CCE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPG Ayr,E1C000CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745397,03/04/2002,Ayr,DL000027,Ayr,C19B,Ayr,DARVEL,218.64,11B,40,0A,West FM,CCB1,,West Sound,CFC9,1EA,BBC RNanGaidheal,C336,13,UWS Radio,C1CA,,BBC Scotland,C435,181,Virgin 80's Plus,C2EB,1F1,HITS RADIO UK,C3E2,1E2 1E4,Absolute Country,CCE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPG Ayr,E1C000CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745398,29/11/2016,Ayr,DL000027,Ayr,C19B,GIRVAN,GIRVAN,218.64,11B,40,4,West FM,CCB1,,West Sound,CFC9,1EA,BBC RNanGaidheal,C336,13,UWS Radio,C1CA,,BBC Scotland,C435,181,Virgin 80's Plus,C2EB,1F1,HITS RADIO UK,C3E2,1E2 1E4,Absolute Country,CCE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPG Ayr,E1C000CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745399,03/04/2002,Ayr,DL000027,Ayr,C19B,Ayr,WEST KILBRIDE,218.64,11B,40,7,West FM,CCB1,,West Sound,CFC9,1EA,BBC RNanGaidheal,C336,13,UWS Radio,C1CA,,BBC Scotland,C435,181,Virgin 80's Plus,C2EB,1F1,HITS RADIO UK,C3E2,1E2 1E4,Absolute Country,CCE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPG Ayr,E1C000CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745400,30/11/2022,Basingstoke small-scale,DS103872,Basingstoke,C1DF,Basingstoke,Basingstoke,197.648,8B,3,8,Basingstoke CR,C2C6,,TBA 2,C3C6,,B Radio,CCC5,20A,Hot Basingstoke,CFC5,20D,News Radio UK,C1DA,,TBA 3,C2C3,,Nation 70s,C2ED,,Nation 80s,C2EF,,Easy Radio,C7C3,,Nation Radio,C8D9,,60s,CAD3,,Angel vintage,CDC2,209,TBA,CEEB,,Hot Gold B'stoke,CEC5,20E,OUTREACH DANCE,C1C5,20C,OUTREACH RADIO,C3EE,20B,BFBS Gurkha,C2FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1C000D9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745401,30/01/2014,BBC National DAB,BBCD000001,UK,CE15,Aberdare,Aberdare,225.648,12B,24,12,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
